package,category,description,link
string,Text Processing Services,Common string operations,https://docs.python.org/3/library/string.html
re,Text Processing Services,Regular expression operations,https://docs.python.org/3/library/re.html
difflib,Text Processing Services,Helpers for computing deltas,https://docs.python.org/3/library/difflib.html
textwrap,Text Processing Services,Text wrapping and filling,https://docs.python.org/3/library/textwrap.html
unicodedata,Text Processing Services,Unicode Database,https://docs.python.org/3/library/unicodedata.html
stringprep,Text Processing Services,Internet String Preparation,https://docs.python.org/3/library/stringprep.html
readline,Text Processing Services,GNU readline interface,https://docs.python.org/3/library/readline.html
rlcompleter,Text Processing Services,Completion function for GNU readline,https://docs.python.org/3/library/rlcompleter.html
struct,Binary Data Services,Interpret bytes as packed binary data,https://docs.python.org/3/library/struct.html
codecs,Binary Data Services,Codec registry and base classes,https://docs.python.org/3/library/codecs.html
datetime,Data Types,Basic date and time types,https://docs.python.org/3/library/datetime.html
zoneinfo,Data Types,IANA time zone support,https://docs.python.org/3/library/zoneinfo.html
calendar,Data Types,General calendar-related functions,https://docs.python.org/3/library/calendar.html
collections,Data Types,Container datatypes,https://docs.python.org/3/library/collections.html
collections.abc,Data Types,Abstract Base Classes for Containers,https://docs.python.org/3/library/collections.abc.html
heapq,Data Types,Heap queue algorithm,https://docs.python.org/3/library/heapq.html
bisect,Data Types,Array bisection algorithm,https://docs.python.org/3/library/bisect.html
array,Data Types,Efficient arrays of numeric values,https://docs.python.org/3/library/array.html
weakref,Data Types,Weak references,https://docs.python.org/3/library/weakref.html
types,Data Types,Dynamic type creation and names for built-in types,https://docs.python.org/3/library/types.html
copy,Data Types,Shallow and deep copy operations,https://docs.python.org/3/library/copy.html
pprint,Data Types,Data pretty printer,https://docs.python.org/3/library/pprint.html
reprlib,Data Types,Alternate repr() implementation,https://docs.python.org/3/library/reprlib.html
enum,Data Types,Support for enumerations,https://docs.python.org/3/library/enum.html
graphlib,Data Types,Functionality to operate with graph-like structures,https://docs.python.org/3/library/graphlib.html
numbers,Numeric and Mathematical Modules,Numeric abstract base classes,https://docs.python.org/3/library/numbers.html
math,Numeric and Mathematical Modules,Mathematical functions,https://docs.python.org/3/library/math.html
cmath,Numeric and Mathematical Modules,Mathematical functions for complex numbers,https://docs.python.org/3/library/cmath.html
decimal,Numeric and Mathematical Modules,Decimal fixed point and floating point arithmetic,https://docs.python.org/3/library/decimal.html
fractions,Numeric and Mathematical Modules,Rational numbers,https://docs.python.org/3/library/fractions.html
random,Numeric and Mathematical Modules,Generate pseudo-random numbers,https://docs.python.org/3/library/random.html
statistics,Numeric and Mathematical Modules,Mathematical statistics functions,https://docs.python.org/3/library/statistics.html
itertools,Functional Programming Modules,Functions creating iterators for efficient looping,https://docs.python.org/3/library/itertools.html
functools,Functional Programming Modules,Higher-order functions and operations on callable objects,https://docs.python.org/3/library/functools.html
operator,Functional Programming Modules,Standard operators as functions,https://docs.python.org/3/library/operator.html
